epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.1863,0.02718,5.48284,2.42333,0.46679,0.26071,0.28464,0.1242,0.02512,3.50062,2.33538,0.00012673,0.00012673,0.00012673
2,98.3027,0.02155,3.25919,1.91098,0.88157,0.32112,0.53569,0.26793,0.02133,3.93218,2.04674,0.000257555,0.000257555,0.000257555
3,146.311,0.02196,2.67475,1.86134,0.60878,0.51492,0.42075,0.2032,0.02638,4.04407,2.57514,0.000385738,0.000385738,0.000385738
4,194.021,0.02219,2.48001,1.85279,0.69059,0.49615,0.63444,0.32945,0.0223,3.00058,2.38173,0.00051128,0.00051128,0.00051128
5,237.084,0.02128,2.19587,1.83986,0.69852,0.4903,0.60235,0.24563,0.03099,2.59456,2.96527,0.000634181,0.000634181,0.000634181
6,282.791,0.02171,2.12386,1.88843,0.80751,0.56762,0.6054,0.32235,0.02498,1.89645,2.37273,0.000633983,0.000633983,0.000633983
7,333.466,0.02218,1.95349,1.8913,0.4768,0.5611,0.62061,0.3258,0.02264,1.82609,2.31875,0.00062738,0.00062738,0.00062738
8,375.603,0.0213,1.8999,1.83534,0.64117,0.45993,0.52903,0.30138,0.02179,1.88587,2.4704,0.000620777,0.000620777,0.000620777
9,421.259,0.02136,1.82863,1.83407,0.58593,0.71731,0.7178,0.40468,0.01842,1.55535,2.01928,0.000614174,0.000614174,0.000614174
10,467.636,0.02146,1.8072,1.86397,0.70914,0.58143,0.6175,0.35263,0.02233,1.8093,2.22527,0.00060757,0.00060757,0.00060757
11,515.4,0.02042,1.733,1.7934,0.8101,0.55622,0.6805,0.39995,0.01776,1.38201,1.75626,0.000600967,0.000600967,0.000600967
12,561.472,0.02009,1.69663,1.75705,0.66326,0.67698,0.66937,0.36638,0.02179,1.24109,2.04205,0.000594364,0.000594364,0.000594364
13,607.453,0.01917,1.58446,1.67955,0.79731,0.58376,0.67635,0.34773,0.02333,1.40033,2.2086,0.00058776,0.00058776,0.00058776
14,656.116,0.01951,1.58201,1.70919,0.71716,0.72389,0.73067,0.33552,0.02519,1.37334,2.24251,0.000581157,0.000581157,0.000581157
15,701.99,0.01909,1.53581,1.6877,0.79105,0.64886,0.71142,0.36702,0.02637,1.29551,2.46273,0.000574554,0.000574554,0.000574554
16,747.619,0.01964,1.53606,1.71669,0.72978,0.65901,0.67608,0.3691,0.02104,1.23095,2.13832,0.00056795,0.00056795,0.00056795
17,790.402,0.01858,1.44843,1.66483,0.55371,0.62297,0.64613,0.36529,0.02272,1.30055,2.2439,0.000561347,0.000561347,0.000561347
